aid	name	lat1	lat2	lng1	lng2	alt
11001	宗谷岬	45	31.2	141	56.1	26
11016	稚内	45	24.9	141	40.7	3
11046	礼文	45	18.3	141	2.7	65
11061	声問	45	24.2	141	48	8
11076	浜鬼志別	45	20.1	142	10.2	13
11091	本泊	45	14.5	141	11.2	30
11121	沼川	45	14.9	141	51.1	23
11151	沓形	45	10.7	141	8.3	14
11176	豊富	45	6.4	141	45.9	16
11206	浜頓別	45	7.5	142	21	18
11276	中頓別	44	57.9	142	16.8	25
11291	北見枝幸	44	56.4	142	35.1	7
11316	歌登	44	50.5	142	28.8	14
12011	中川	44	49.7	142	4.6	22
12041	音威子府	44	43.6	142	15.9	40
12066	小車	44	36.5	142	17.7	62
12141	美深	44	28.8	142	20.5	77
12181	名寄	44	22.2	142	27.4	89
12217	西風連	44	17.7	142	21.5	128
12231	下川	44	18.1	142	37.4	140
12256	剣淵	44	6.4	142	21.2	138
12261	士別	44	11.2	142	25	135
12266	朝日	44	7.1	142	35.7	225
12301	和寒	44	1.7	142	24.6	150
12386	江丹別	43	52.2	142	15.6	140
12396	比布	43	52.5	142	28.8	175
12411	上川	43	50.8	142	45.2	324
12442	旭川	43	45.4	142	22.3	120
12451	東川	43	42.1	142	30.5	215
12457	瑞穂	43	44.2	142	38.3	289
12471	層雲峡	43	45.2	142	55.8	540
12501	東神楽	43	40.2	142	26.8	211
12512	志比内	43	38.6	142	34.9	310
12551	美瑛	43	35.3	142	29.6	250
12596	上富良野	43	27.3	142	27.9	220
12607	白金	43	28.5	142	39	658
12626	富良野	43	20	142	24	174
12632	麓郷	43	18.1	142	31.3	315
12686	金山	43	8.3	142	25	284
12691	幾寅	43	10.1	142	34.1	350
12746	占冠	42	58.7	142	23.7	332
13011	幌延	45	0.4	141	51.1	5
13061	天塩	44	53.6	141	45.7	9
13086	遠別	44	43.1	141	48.4	7
13121	初山別	44	31.4	141	46.2	27
13146	焼尻	44	25.7	141	25.3	38
13181	羽幌	44	21.8	141	42	8
13206	古丹別	44	15.9	141	43.3	15
13261	達布	44	2.9	141	51.4	30
13277	留萌	43	56.7	141	37.9	24
13311	増毛	43	50.9	141	30.6	20
13321	幌糠	43	51.2	141	45.6	20
14026	浜益	43	34.9	141	23.2	3
14071	厚田	43	23.8	141	26.2	5
14101	新篠津	43	13.2	141	38.7	9
14116	山口	43	8.9	141	13.3	5
14121	石狩	43	11.6	141	22.2	5
14136	江別	43	6.6	141	36.1	8
14157	手稲山	43	5	141	12.1	568
14163	札幌	43	3.6	141	19.7	17
14191	小金湯	42	57.8	141	13	230
14206	恵庭島松	42	55.6	141	33.9	30
14286	支笏湖畔	42	46.3	141	24.4	290
14296	千歳	42	46.5	141	41.5	22
15041	朱鞠内	44	16.9	142	9.7	255
15076	幌加内	44	0.6	142	9.6	159
15116	石狩沼田	43	48.9	141	55.6	63
15161	深川	43	43.1	142	4.4	55
15197	雨竜	43	39.6	141	53.5	42
15216	新城	43	36.7	142	12.2	147
15231	空知吉野	43	35.7	141	43.9	100
15241	滝川	43	34.2	141	56.3	50
15247	赤平	43	33.2	142	4	120
15251	芦別	43	31.2	142	11.4	91
15276	浦臼	43	25.7	141	48.5	25
15311	月形	43	19.8	141	37	50
15321	美唄	43	21.8	141	49.6	16
15356	岩見沢	43	12.7	141	47.1	42
15391	栗沢	43	7.3	141	44.7	20
15431	長沼	43	0.7	141	41.6	13
15442	夕張	43	2.3	141	57.4	293
15451	鹿島	43	4.8	142	6	310
15491	沼の沢	42	57.6	142	1.2	161
16026	美国	43	16.3	140	33.8	75
16061	神恵内	43	8.7	140	25.4	50
16076	余市	43	10.9	140	45.5	20
16091	小樽	43	10.9	141	0.9	25
16126	赤井川	43	5	140	49.2	148
16156	共和	42	58.8	140	36.2	15
16206	蘭越	42	48.6	140	32.5	39
16217	倶知安	42	54	140	45.4	176
16252	寿都	42	47.7	140	13.4	33
16272	ニセコ	42	46.7	140	40	113
16281	真狩	42	46.5	140	52.8	440
16286	喜茂別	42	47.6	140	56.9	264
16321	黒松内	42	39.8	140	18.6	27
17036	雄武	44	34.8	142	57.8	14
17076	興部	44	28.2	143	6.5	8
17091	西興部	44	19.9	142	56.1	120
17112	紋別	44	20.7	143	21.3	16
17116	紋別小向	44	18.2	143	24.2	18
